Time,Symbol,Price,Quantity,Type,Status,Value,Tag 
2010-08-13T15:30:00Z,TMF,98.956149685,-11203613,Market,Filled,-1108666405.0408,Warning: No quote information available at 08/13/2010 11:00:00 America/New_York, order filled using TradeBar data 
2010-08-13T15:30:00Z,TYD,22.621337053,-49169054,Market,Filled,-1112269743.1112,Warning: No quote information available at 08/13/2010 11:00:00 America/New_York, order filled using TradeBar data 
2010-08-13T15:30:00Z,SPY,83.850499781,25036259,Market,Filled,2099302829.7966,Warning: No quote information available at 08/13/2010 11:00:00 America/New_York, order filled using TradeBar data 
2010-12-09T16:30:00Z,TYD,0,74503447,Market,Invalid,0, 
2010-12-09T16:30:00Z,TMF,75.1314687,20458593,Market,Filled,1537084139.6255,Warning: No quote information available at 12/09/2010 11:00:00 America/New_York, order filled using TradeBar data 
2010-12-09T16:30:00Z,SPY,95.869073064,-25036259,Market,Filled,-2400202943.3202,Warning: No quote information available at 12/09/2010 11:00:00 America/New_York, order filled using TradeBar data 
2010-12-10T16:30:00Z,TYD,20.5023299925,75836135,Market,Filled,1554817465.1258,Warning: No quote information available at 12/10/2010 11:00:00 America/New_York, order filled using TradeBar data 
2011-02-04T16:30:00Z,TMF,65.57833107,-20458593,Market,Filled,-1341640384.9804,Warning: No quote information available at 02/04/2011 11:00:00 America/New_York, order filled using TradeBar data 
2011-02-04T16:30:00Z,TYD,19.380834765,-75836135,Market,Filled,-1469767601.6512,Warning: No quote information available at 02/04/2011 11:00:00 America/New_York, order filled using TradeBar data 
2011-02-04T16:30:00Z,SPY,101.880072956,30279304,Market,Filled,3084857700.5769,Warning: No quote information available at 02/04/2011 11:00:00 America/New_York, order filled using TradeBar data 
2011-02-09T16:30:00Z,TMF,0,25278083,Market,Invalid,0, 
2011-02-09T16:30:00Z,TYD,0,85143326,Market,Invalid,0, 
2011-02-09T16:30:00Z,SPY,103.465724632,-30279304,Market,Filled,-3132870129.7126,Warning: No quote information available at 02/09/2011 11:00:00 America/New_York, order filled using TradeBar data 
2011-02-10T16:30:00Z,TMF,64.90756737,24808241,Market,Filled,1610242574.0387,Warning: No quote information available at 02/10/2011 11:00:00 America/New_York, order filled using TradeBar data 
2011-02-10T16:30:00Z,TYD,19.1277127515,84172774,Market,Filled,1610032642.5689,Warning: No quote information available at 02/10/2011 11:00:00 America/New_York, order filled using TradeBar data 
2011-03-04T16:30:00Z,TMF,68.79799683,-24808241,Market,Filled,-1706757285.6759,Warning: No quote information available at 03/04/2011 11:00:00 America/New_York, order filled using TradeBar data 
2011-03-04T16:30:00Z,TYD,19.955081721,-84172774,Market,Filled,-1679674583.8533,Warning: No quote information available at 03/04/2011 11:00:00 America/New_York, order filled using TradeBar data 
2011-03-04T16:30:00Z,SPY,103.746923944,32677111,Market,Filled,3390149749.6266,Warning: No quote information available at 03/04/2011 11:00:00 America/New_York, order filled using TradeBar data 
2011-04-29T15:30:00Z,TMF,0,23379779,Market,Invalid,0, 
2011-04-29T15:30:00Z,TYD,0,85351081,Market,Invalid,0, 
2011-04-29T15:30:00Z,SPY,106.896297024,-32677111,Market,Filled,-3493062163.3422,Warning: No quote information available at 04/29/2011 11:00:00 America/New_York, order filled using TradeBar data 
2011-05-02T15:30:00Z,TMF,77.69679525,23274786,Market,Filled,1808376282.3296,Warning: No quote information available at 05/02/2011 11:00:00 America/New_York, order filled using TradeBar data 
2011-05-02T15:30:00Z,TYD,21.399008228,84497636,Market,Filled,1808165608.0105,Warning: No quote information available at 05/02/2011 11:00:00 America/New_York, order filled using TradeBar data 
2011-09-16T15:30:00Z,TMF,131.49204399,-23274786,Market,Filled,-3060449184.5698,Warning: No quote information available at 09/16/2011 11:00:00 America/New_York, order filled using TradeBar data 
2011-09-16T15:30:00Z,TYD,29.1624675195,-84497636,Market,Filled,-2464159565.3245,Warning: No quote information available at 09/16/2011 11:00:00 America/New_York, order filled using TradeBar data 
2011-09-16T15:30:00Z,SPY,95.603568736,52371727,Market,Filled,5006924002.0675,Warning: No quote information available at 09/16/2011 11:00:00 America/New_York, order filled using TradeBar data 
2011-09-21T15:30:00Z,TYD,0,82178355,Market,Invalid,0, 
2011-09-21T15:30:00Z,TMF,139.92130782,17707430,Market,Filled,2477646763.7311,Warning: No quote information available at 09/21/2011 11:00:00 America/New_York, order filled using TradeBar data 
2011-09-21T15:30:00Z,SPY,94.684303652,-52371727,Market,Filled,-4958780502.0476,Warning: No quote information available at 09/21/2011 11:00:00 America/New_York, order filled using TradeBar data 
2011-09-22T15:30:00Z,TYD,31.088988462,83773956,Market,Filled,2604447551.5001,Warning: No quote information available at 09/22/2011 11:00:00 America/New_York, order filled using TradeBar data 
2011-12-23T16:30:00Z,TMF,147.560839875,-17707430,Market,Filled,-2612923242.8278,Warning: No quote information available at 12/23/2011 11:00:00 America/New_York, order filled using TradeBar data 
